Wall time,Step,Value
1712440107.1319861,915,-11530.3125
1712440116.209089,1446,-9511.875
1712440119.6603348,1642,-8738.0361328125
1712440127.5709772,2099,-7598.47216796875
1712440137.5022001,2685,-8281.7041015625
1712440142.3739145,2974,-9442.9169921875
1712440150.8319633,3467,-9921.4287109375
1712440152.9911103,3581,-9803.4169921875
1712440157.4478528,3843,-9847.65625
1712440159.634997,3959,-9387.8671875
1712440162.3899498,4112,-9072.4306640625
1712440166.4183903,4346,-9279.5390625
1712440171.2310698,4630,-9502.3125
1712440175.1620922,4859,-9454.76171875
1712440189.746199,5698,-8928.25
1712440195.332916,6030,-9061.0
1712440212.8503275,7032,-8138.7998046875
1712440215.9075327,7204,-8153.5
1712440222.7171645,7592,-8085.0498046875
1712440226.9192052,7838,-7985.5498046875
1712440237.563729,8473,-7674.2001953125
1712440249.2779853,9154,-7576.2998046875
1712440253.614649,9408,-7656.75
1712440260.8059742,9819,-8081.60009765625
1712440265.5859723,10100,-7895.60009765625
1712440271.7428713,10473,-8370.150390625
1712440275.8943734,10714,-8250.75
1712440285.9831831,11317,-9130.0
1712440293.0497606,11719,-8864.849609375
1712440295.9459016,11881,-8623.0
1712440308.2714698,12596,-8908.400390625
1712440311.634395,12787,-9190.599609375
1712440317.292712,13124,-9491.7001953125
1712440321.1638265,13350,-9594.900390625
1712440325.5208821,13607,-9607.75
1712440339.4846907,14436,-10613.900390625
1712440341.9481583,14574,-10083.0
1712440349.4371378,15014,-10303.349609375
1712440361.9916153,15780,-10227.7998046875
1712440366.716818,16062,-10332.849609375
1712440372.7005377,16427,-11045.75
1712440376.0207772,16620,-10977.9501953125
1712440379.3957853,16817,-10341.0498046875
1712440384.5986514,17111,-9336.349609375
1712440387.7811775,17296,-9354.7998046875
1712440391.36366,17451,-9275.5498046875
1712440396.4127288,17758,-10176.900390625
1712440405.853788,18330,-10389.5498046875
1712440414.7972987,18864,-10505.25
1712440417.6526337,19029,-10216.150390625
1712440435.8847945,20100,-9464.5498046875
1712440440.4689264,20377,-9372.0498046875
1712440445.8355224,20703,-9624.75
1712440450.8918061,21009,-9555.7998046875
1712440454.1609552,21200,-9749.5
1712440457.7416177,21410,-9966.349609375
1712440482.326928,22899,-9360.900390625
1712440503.973519,24187,-8655.75
1712440516.8101773,24950,-8395.25
1712440524.5785458,25409,-8945.099609375
1712440528.7925358,25660,-9668.4501953125
1712440532.1985495,25858,-9647.599609375
1712440561.7840552,27603,-8612.5498046875
1712440576.09596,28377,-7115.10009765625
1712440583.1062036,28786,-7024.25
1712440587.5456195,29050,-7059.89990234375
1712440591.5342445,29284,-6965.0
1712440612.7788107,30566,-8018.89990234375
1712440616.6066716,30791,-7933.25
1712440620.0841293,30993,-7189.7001953125
1712440634.2406955,31841,-7627.2001953125
1712440637.758727,32047,-7050.7998046875
1712440649.4614768,32738,-7175.14990234375
1712440663.77684,33576,-7666.64990234375
1712440671.262538,34015,-7753.5498046875
1712440678.4285753,34434,-7775.89990234375
1712440682.5338066,34677,-7749.0498046875
1712440685.9980044,34880,-7925.35009765625
1712440690.8771105,35172,-8003.4501953125
1712440695.7986012,35467,-8530.2998046875
1712440699.9799511,35716,-8347.7001953125
1712440707.7851355,36176,-8246.5
1712440715.500173,36630,-8795.4501953125
1712440728.6394267,37410,-8599.7998046875
1712440731.9000602,37598,-8195.150390625
1712440737.1676235,37915,-8709.9501953125
1712440745.4580183,38405,-8860.2998046875
1712440750.2860615,38695,-8861.650390625
1712440754.1702702,38923,-9012.900390625
1712440761.366682,39343,-9128.4501953125
1712440764.9692116,39554,-8893.900390625
1712440771.6626976,39942,-8957.7001953125
1712440776.2197533,40213,-9261.9501953125
1712440785.046334,40739,-9443.7998046875
1712440789.5354714,41007,-9824.2998046875
1712440794.9866343,41336,-10520.900390625
1712440807.179327,42078,-9976.5498046875
1712440825.59456,43174,-9853.5498046875
1712440831.2468266,43515,-9727.599609375
1712440835.6914814,43775,-10119.0
1712440842.5509586,44192,-10499.2998046875
1712440851.0851173,44697,-10653.650390625
1712440854.4862635,44895,-10559.849609375
1712440860.8996937,45266,-10342.099609375
1712440869.634344,45787,-9935.7998046875
1712440874.0272,46049,-9993.75
1712440879.2479782,46364,-10850.4501953125
1712440882.0623603,46524,-10603.25
1712440890.6057947,47031,-11241.349609375
1712440894.6960406,47273,-11008.0
1712440923.7296262,48996,-9875.650390625
1712440941.322613,50013,-9675.150390625
1712440960.0113738,50650,-9758.5498046875
1712440963.46934,50766,-9763.75
1712440965.8561487,50841,-9541.75
1712440976.0427163,51169,-7837.60009765625
1712440978.7362034,51257,-7773.39990234375
