Wall time,Step,Value
1712355475.3294578,52253,-996.6599731445312
1712355477.2328908,52314,-996.52001953125
1712355479.511274,52388,-986.4600219726562
1712355481.3517287,52445,-986.4600219726562
1712355483.3630078,52509,-986.5
1712355485.1235163,52564,-986.5999755859375
1712355487.307641,52635,-976.4199829101562
1712355489.2989392,52699,-976.4500122070312
1712355491.1062639,52757,-976.4400024414062
1712355493.4137406,52833,-976.3900146484375
1712355495.60922,52905,-976.3300170898438
1712355497.3952665,52961,-976.7999877929688
1712355499.6112356,53033,-976.7000122070312
1712355501.7788382,53101,-976.6699829101562
1712355503.7236278,53164,-966.510009765625
1712355505.446519,53216,-966.6400146484375
1712355507.6891606,53288,-956.5700073242188
1712355509.3810315,53340,-956.6099853515625
1712355511.0464334,53391,-956.6199951171875
1712355512.938392,53449,-956.5499877929688
1712355514.740147,53506,-956.5900268554688
1712355516.5363739,53561,-956.52001953125
1712355518.95656,53641,-956.4400024414062
1712355520.7547514,53697,-956.4299926757812
1712355522.5328128,53753,-946.3099975585938
1712355524.1780522,53805,-946.3300170898438
1712355525.7569885,53853,-946.4099731445312
1712355527.9865391,53925,-956.5
1712355529.9549012,53989,-956.3800048828125
1712355532.2002008,54061,-956.280029296875
1712355534.1546588,54123,-956.1799926757812
1712355535.9605896,54177,-966.3599853515625
1712355537.6069343,54228,-966.52001953125
1712355539.8994212,54301,-966.4400024414062
1712355541.4971044,54349,-966.6099853515625
1712355543.2143006,54403,-966.739990234375
1712355545.0174284,54457,-966.7000122070312
1712355547.0666094,54521,-966.7899780273438
1712355548.7199838,54572,-966.9400024414062
1712355550.4578984,54625,-977.030029296875
1712355552.196455,54679,-977.0399780273438
1712355553.9319935,54732,-987.25
1712355555.8873339,54793,-987.2000122070312
1712355557.733322,54852,-977.0900268554688
1712355559.4645653,54904,-977.2100219726562
1712355562.1896646,54992,-966.9099731445312
1712355563.953982,55045,-966.9600219726562
1712355566.0566115,55113,-956.9500122070312
1712355568.581699,55196,-956.6900024414062
1712355570.7782178,55268,-966.5399780273438
1712355572.7924402,55329,-966.4500122070312
1712355574.595252,55385,-966.4299926757812
1712355576.592379,55449,-966.4600219726562
1712355578.289122,55501,-966.5599975585938
1712355580.0784369,55558,-966.75
1712355581.771426,55609,-966.8599853515625
1712355583.5892863,55666,-966.8300170898438
1712355585.943931,55741,-966.5499877929688
1712355587.6883059,55793,-966.7100219726562
1712355589.353194,55848,-966.6699829101562
1712355590.8681467,55893,-966.739990234375
1712355592.7181015,55951,-966.760009765625
1712355594.9195814,56021,-966.719970703125
1712355596.808563,56081,-966.6199951171875
1712355598.7340438,56141,-966.52001953125
1712355600.4220796,56193,-966.489990234375
1712355602.123827,56245,-966.5
1712355603.7295728,56293,-966.5399780273438
1712355605.3344407,56341,-966.6300048828125
1712355607.3513558,56405,-966.510009765625
1712355608.9313755,56453,-976.9500122070312
1712355610.7543519,56509,-976.9099731445312
1712355612.8323793,56575,-987.030029296875
1712355614.9026387,56641,-977.1699829101562
1712355616.542408,56692,-977.4099731445312
1712355618.571195,56757,-977.4299926757812
1712355620.3823895,56813,-977.4500122070312
1712355622.45556,56880,-977.4199829101562
1712355624.4642684,56943,-977.3900146484375
1712355626.5792763,57009,-977.25
1712355628.7946463,57081,-977.1400146484375
1712355630.8414533,57145,-977.0800170898438
1712355632.694398,57204,-977.2899780273438
1712355634.8744133,57273,-977.1500244140625
1712355636.7002547,57329,-977.0700073242188
1712355638.6763406,57392,-976.9199829101562
1712355640.4402516,57445,-966.9199829101562
1712355642.188322,57499,-967.0900268554688
1712355644.1764858,57561,-967.0900268554688
1712355646.4505029,57636,-957.0
1712355648.7674084,57711,-946.780029296875
1712355651.124257,57787,-946.5599975585938
1712355653.205567,57853,-946.469970703125
1712355655.2543433,57919,-956.3300170898438
1712355657.3473182,57985,-956.3200073242188
1712355659.597826,58057,-956.0999755859375
1712355661.1875978,58105,-956.1699829101562
1712355662.9913473,58162,-946.1900024414062
1712355665.3698175,58239,-956.0999755859375
1712355667.2751598,58298,-956.0
1712355669.2009504,58358,-955.9299926757812
1712355671.0367029,58416,-955.8900146484375
1712355673.2696323,58487,-945.8900146484375
1712355675.0115845,58541,-945.9099731445312
1712355677.2250037,58613,-935.8400268554688
1712355679.5211563,58687,-935.739990234375
1712355681.2047107,58737,-935.8200073242188
1712355683.106251,58797,-935.7999877929688
1712355685.4770548,58874,-935.6900024414062
1712355687.276158,58929,-925.6900024414062
1712355688.9085844,58978,-915.7999877929688
1712355690.8111038,59037,-925.7899780273438
1712355692.52293,59091,-915.760009765625
1712355694.2503731,59144,-915.7899780273438
1712355696.2384686,59205,-925.9400024414062
1712355698.2765114,59271,-936.0499877929688
1712355699.928861,59321,-936.27001953125
1712355701.9519565,59385,-936.219970703125
1712355703.944432,59449,-916.2999877929688
1712355707.0326452,59553,-915.97998046875
1712355708.9387014,59613,-916.0800170898438
1712355710.704221,59668,-915.97998046875
1712355712.59789,59725,-925.989990234375
1712355714.4693952,59784,-926.1699829101562
1712355716.147108,59835,-926.27001953125
1712355717.911879,59889,-926.3300170898438
1712355720.0477366,59957,-916.219970703125
1712355721.7693682,60009,-926.3300170898438
1712355723.6065605,60069,-926.3200073242188
1712355725.7471411,60139,-936.3699951171875
1712355727.858424,60207,-936.4099731445312
1712355729.3845153,60253,-926.47998046875
1712355731.2325487,60312,-926.530029296875
1712355732.8607457,60362,-926.780029296875
1712355734.9623337,60429,-926.6799926757812
1712355737.4314926,60509,-936.4199829101562
1712355739.9290926,60590,-926.3099975585938
1712355742.5563684,60677,-936.27001953125
1712355747.0765522,60833,-936.280029296875
1712355748.7371361,60886,-936.3699951171875
1712355751.2741225,60969,-936.2100219726562
1712355753.779583,61051,-925.8699951171875
1712355756.13538,61125,-905.77001953125
1712355758.1413114,61192,-925.7100219726562
1712355760.2506757,61257,-916.030029296875
1712355762.4200706,61328,-905.9500122070312
1712355763.9815466,61373,-906.010009765625
1712355766.7402165,61465,-895.6300048828125
1712355768.5781698,61521,-895.6699829101562
1712355770.4851022,61581,-885.5599975585938
1712355772.7587268,61653,-885.4299926757812
1712355775.0285125,61727,-895.3499755859375
1712355777.1398904,61793,-895.219970703125
1712355780.73069,61915,-884.760009765625
1712355784.1274095,62029,-884.8900146484375
1712355786.073372,62092,-884.97998046875
1712355789.3073356,62200,-894.9000244140625
1712355791.6243715,62275,-884.739990234375
1712355793.6372058,62337,-884.6500244140625
1712355795.7269857,62405,-894.6699829101562
1712355797.1348982,62448,-894.9400024414062
1712355799.7661319,62533,-904.9000244140625
1712355801.512498,62585,-904.9500122070312
1712355803.439204,62646,-894.8800048828125
1712355806.0454335,62733,-894.5399780273438
1712355807.6449733,62781,-894.8200073242188
1712355809.6008377,62844,-905.0700073242188
1712355811.6600692,62908,-915.1900024414062
1712355813.9804919,62981,-905.1799926757812
1712355816.124736,63049,-915.1699829101562
1712355818.141577,63113,-925.1699829101562
1712355820.1842859,63177,-925.0399780273438
1712355822.307722,63245,-925.2899780273438
1712355824.2025154,63305,-925.219970703125
1712355826.0931315,63365,-935.3599853515625
1712355830.4613307,63517,-935.5700073242188
1712355833.1173973,63605,-935.8099975585938
1712355834.9598904,63664,-936.030029296875
1712355836.488053,63709,-946.5499877929688
1712355840.4766579,63845,-936.530029296875
1712355842.433606,63907,-926.489990234375
1712355845.0060134,63989,-926.22998046875
1712355847.7161841,64080,-936.4199829101562
1712355850.1301332,64159,-926.4099731445312
1712355852.013363,64217,-926.469970703125
1712355854.617535,64304,-926.0900268554688
1712355856.9972386,64382,-926.0399780273438
1712355858.6835597,64433,-926.02001953125
1712355860.705191,64497,-936.030029296875
1712355862.6947887,64560,-936.260009765625
1712355864.9213321,64629,-936.1199951171875
1712355867.057006,64699,-936.0
1712355869.7444162,64785,-935.8200073242188
1712355871.800659,64849,-935.780029296875
1712355873.9095786,64917,-935.72998046875
1712355875.722243,64973,-925.780029296875
1712355877.8395286,65042,-925.7999877929688
1712355879.7551131,65101,-935.9199829101562
1712355881.7587893,65165,-935.9199829101562
1712355883.433865,65217,-925.8499755859375
1712355885.311699,65277,-925.8200073242188
1712355887.691388,65354,-915.5700073242188
1712355890.0720232,65431,-905.2000122070312
1712355892.2815642,65501,-894.989990234375
1712355894.9712234,65589,-904.9299926757812
1712355898.0281754,65689,-914.5700073242188
1712355899.8508608,65745,-914.8099975585938
1712355901.8760567,65809,-904.6500244140625
1712355903.92923,65874,-914.6599731445312
1712355906.3622074,65953,-904.530029296875
1712355908.4189403,66017,-904.77001953125
1712355910.7513719,66094,-904.77001953125
1712355912.4761908,66148,-904.780029296875
1712355915.8104005,66259,-894.4600219726562
1712355917.6316428,66318,-894.5999755859375
1712355919.518134,66377,-894.7100219726562
1712355921.8640199,66453,-884.6199951171875
1712355924.0111067,66523,-894.7100219726562
1712355926.0062435,66587,-904.8300170898438
1712355927.6808112,66639,-905.0399780273438
1712355929.3032167,66688,-915.1900024414062
1712355931.051114,66741,-915.2999877929688
1712355932.7526817,66793,-915.3499755859375
1712355934.4833157,66848,-915.5
1712355936.743424,66919,-925.3400268554688
1712355938.7089813,66980,-925.1799926757812
1712355940.3690495,67029,-925.4600219726562
1712355942.2375617,67088,-925.6799926757812
1712355944.4074905,67157,-935.6599731445312
1712355946.4202447,67221,-935.5999755859375
1712355948.3202052,67281,-936.0
1712355950.7946084,67361,-925.77001953125
1712355952.747525,67421,-935.8099975585938
1712355954.959113,67493,-935.6699829101562
1712355957.1749997,67567,-945.6799926757812
1712355959.1939883,67632,-945.6900024414062
1712355960.960518,67686,-945.9099731445312
1712355963.1089697,67753,-945.8400268554688
1712355967.3316615,67900,-956.0999755859375
1712355969.2248092,67957,-945.97998046875
1712355971.6960313,68040,-935.780029296875
1712355974.138978,68117,-945.8300170898438
1712355976.1606796,68181,-935.8900146484375
1712355978.1829371,68245,-935.7999877929688
1712355980.2731378,68312,-935.6099853515625
1712355982.3407302,68376,-935.4199829101562
1712355984.3745406,68440,-935.3300170898438
1712355986.4569557,68505,-935.260009765625
1712355988.4814727,68569,-935.0999755859375
1712355990.7116725,68641,-925.0399780273438
1712355992.5511432,68697,-915.1599731445312
1712355994.7904546,68769,-924.9299926757812
1712355996.858315,68835,-934.9600219726562
1712355998.861128,68898,-935.02001953125
1712356000.5604005,68951,-925.1699829101562
1712356002.5344722,69013,-925.219970703125
1712356004.4242318,69072,-925.4299926757812
1712356006.7320726,69145,-915.3300170898438
1712356009.428059,69236,-915.510009765625
1712356011.086966,69285,-905.7100219726562
1712356013.1069703,69349,-905.8200073242188
1712356016.4268615,69462,-905.760009765625
1712356018.480301,69525,-905.72998046875
1712356020.5062585,69589,-905.8099975585938
1712356022.8419626,69665,-915.6400146484375
1712356024.8582394,69729,-925.739990234375
1712356027.4423127,69813,-925.9099731445312
1712356029.4027078,69876,-935.9400024414062
1712356031.8041103,69953,-925.8300170898438
1712356033.5922556,70009,-925.97998046875
1712356035.383235,70065,-926.030029296875
1712356037.4225955,70129,-926.010009765625
1712356039.8299806,70208,-925.8200073242188
1712356041.7443357,70268,-925.9099731445312
1712356044.0994022,70343,-935.9000244140625
1712356046.331118,70414,-945.77001953125
1712356048.4600422,70481,-935.8400268554688
1712356050.592447,70549,-935.75
1712356052.648117,70613,-935.760009765625
1712356054.9093134,70688,-945.6400146484375
1712356057.0683582,70756,-935.52001953125
1712356059.8349562,70845,-945.22998046875
1712356062.0300403,70916,-955.239990234375
1712356064.829165,71007,-954.969970703125
1712356066.8033438,71069,-964.8499755859375
1712356068.876287,71136,-964.7100219726562
1712356071.3147342,71213,-964.6400146484375
1712356073.4698052,71281,-964.6099853515625
1712356075.6939676,71353,-964.47998046875
1712356078.127185,71435,-964.4400024414062
1712356079.9074874,71489,-954.489990234375
1712356082.0620973,71557,-954.4000244140625
1712356084.2935297,71629,-944.3099975585938
1712356086.346142,71695,-954.4299926757812
1712356088.6743538,71771,-954.1799926757812
1712356090.7666342,71837,-954.1099853515625
1712356093.04993,71912,-943.9600219726562
1712356095.617772,71995,-943.9299926757812
1712356097.95296,72072,-943.7100219726562
1712356099.8225572,72129,-943.8699951171875
1712356101.7941642,72192,-943.9400024414062
1712356103.889131,72257,-953.9600219726562
1712356105.9344277,72323,-953.989990234375
1712356108.1103737,72393,-954.010009765625
1712356111.1259916,72495,-943.6900024414062
1712356113.023095,72556,-953.8599853515625
1712356115.2419543,72627,-954.1900024414062
1712356117.6560194,72705,-954.1199951171875
1712356120.125878,72785,-944.260009765625
1712356123.4940784,72900,-944.0
1712356126.5681245,73001,-943.9600219726562
1712356129.11117,73084,-943.989990234375
1712356131.3701413,73156,-943.9500122070312
1712356133.7635267,73233,-943.9500122070312
1712356135.579729,73289,-944.1699829101562
1712356137.7192857,73357,-954.1099853515625
1712356139.5229998,73413,-954.1900024414062
1712356142.1181135,73500,-964.4500122070312
1712356144.5982618,73579,-964.3699951171875
1712356147.0238836,73657,-964.3699951171875
1712356149.140572,73725,-964.3900146484375
