Wall time,Step,Value
1712358141.566139,973,-13300.375
1712358151.9273298,1590,-15832.0
1712358155.4525294,1793,-16103.5361328125
1712358165.4861715,2389,-17293.97265625
1712358173.3396544,2846,-16571.2734375
1712358178.4561753,3150,-16037.9580078125
1712358186.4616845,3618,-15329.2861328125
1712358190.0475144,3825,-15681.43359375
1712358193.1705399,4002,-15332.53125
1712358196.097151,4165,-15209.1328125
1712358200.2680736,4408,-15494.84765625
1712358206.0199707,4755,-16421.408203125
1712358209.0803745,4926,-16218.1376953125
1712358215.4746342,5311,-17008.296875
1712358229.3739476,6107,-16698.599609375
1712358234.3800519,6404,-16558.130859375
1712358253.4382691,7513,-16615.150390625
1712358258.3712873,7806,-16699.4609375
1712358269.1618538,8455,-16939.970703125
1712358274.538975,8775,-17630.91015625
1712358283.678464,9310,-18644.58984375
1712358293.0516202,9838,-17939.689453125
1712358297.5750532,10105,-18319.470703125
1712358305.939417,10599,-18609.25
1712358308.830452,10760,-17653.880859375
1712358311.5126266,10910,-17322.830078125
1712358316.5526824,11211,-17138.900390625
1712358326.0420396,11773,-17311.0
1712358331.507648,12077,-16564.5
1712358335.1940389,12292,-16680.509765625
1712358348.2437162,13061,-16084.58984375
1712358352.9142084,13336,-16514.640625
1712358357.9171748,13632,-17314.990234375
1712358361.137435,13816,-16914.80078125
1712358364.96021,14038,-16308.0703125
1712358377.3119493,14757,-14927.16015625
1712358381.4539776,14998,-14342.0
1712358390.15093,15510,-15241.7900390625
1712358396.0960772,15841,-14952.0595703125
1712358400.34224,16089,-14960.73046875
1712358403.7281165,16282,-14094.759765625
1712358407.6925974,16511,-14394.16015625
1712358419.875186,17219,-14735.9697265625
1712358423.9505384,17457,-14922.759765625
1712358427.5396457,17663,-14958.349609375
1712358433.08135,17996,-15381.73046875
1712358442.131338,18529,-14845.25
1712358449.634148,18963,-14613.4501953125
1712358453.2640338,19172,-14193.3896484375
1712358471.7170491,20242,-14193.740234375
1712358477.424167,20584,-15139.2099609375
1712358482.144209,20864,-15319.7802734375
1712358487.121373,21162,-15393.7900390625
1712358492.064947,21456,-14667.0
1712358494.7721026,21608,-14668.5595703125
1712358515.8779106,22839,-15980.4599609375
1712358549.7668025,24826,-15658.9599609375
1712358561.2846675,25520,-17008.30078125
1712358564.0518765,25674,-16787.830078125
1712358568.5341036,25936,-16181.33984375
1712358594.5410397,27432,-15895.58984375
1712358604.76679,28017,-14731.669921875
1712358612.2181194,28448,-14796.0703125
1712358615.2513146,28620,-13685.4501953125
1712358618.7051823,28819,-13791.1796875
1712358636.4478495,29867,-13772.7802734375
1712358639.9681277,30071,-13356.7998046875
1712358644.528613,30341,-13211.23046875
1712358655.6994839,30985,-12448.4501953125
1712358659.2374842,31186,-12708.6201171875
1712358672.0943134,31938,-12962.349609375
1712358688.1328175,32865,-12726.9501953125
1712358697.5208933,33419,-13699.400390625
1712358705.9620929,33915,-14279.9404296875
1712358709.7243428,34133,-14631.41015625
1712358713.8073235,34370,-14796.3701171875
