Wall time,Step,Value
1712333337.517048,2048,-1000.0
1712333387.0291092,4096,-1000.0
1712333434.8309565,6144,-1000.0
1712333482.6191125,8192,-1000.0
1712333530.2523334,10240,-1000.0
1712333577.8696003,12288,-1000.0
1712333625.666522,14336,-1000.0
1712333673.210688,16384,-1000.0
1712333720.2847602,18432,-1000.0
1712333768.018791,20480,-1000.0
1712333815.553692,22528,-1000.0
1712333862.854591,24576,-1000.0
1712333910.291331,26624,-1000.0
1712333958.0814893,28672,-1000.0
1712334005.2944493,30720,-1000.0
1712334052.6934605,32768,-1000.0
1712334100.4561186,34816,-1000.0
1712334148.084705,36864,-1000.0
1712334196.1266544,38912,-1000.0
1712334243.5316746,40960,-1000.0
1712334290.4519892,43008,-1000.0
1712334337.9254653,45056,-1000.0
1712334385.0463111,47104,-1000.0
1712334432.5975187,49152,-1000.0
1712334480.648724,51200,-1000.0
1712334528.8114243,53248,-1000.0
1712334576.9534428,55296,-1000.0
1712334624.788848,57344,-1000.0
1712334672.6501677,59392,-1000.0
1712334720.2814534,61440,-1000.0
1712334767.5259826,63488,-1000.0
1712334815.436813,65536,-1000.0
1712334862.9842749,67584,-1000.0
1712334910.6333573,69632,-1000.0
1712334958.2229931,71680,-1000.0
1712335005.5490177,73728,-1000.0
1712335053.0181642,75776,-1000.0
1712335109.5927234,77824,-1000.0
1712335165.8644845,79872,-1000.0
1712335222.2627907,81920,-1000.0
1712335278.4599628,83968,-1000.0
1712335334.7197464,86016,-1000.0
1712335391.0579598,88064,-1000.0
1712335447.1767213,90112,-1000.0
1712335503.6040187,92160,-1000.0
1712335559.922649,94208,-1000.0
1712335616.1538692,96256,-1000.0
1712335672.1238098,98304,-1000.0
1712335728.7143328,100352,-1000.0
1712335784.9674656,102400,-1000.0
