Wall time,Step,Value
1712336699.4770217,2048,-966.9666748046875
1712336744.1646168,4096,-966.9666748046875
1712336796.5681832,6144,-966.9666748046875
1712336850.3896499,8192,-966.9666748046875
1712336904.2413492,10240,-966.9666748046875
1712336958.0547428,12288,-966.9666748046875
1712337011.8528707,14336,-966.9666748046875
1712337065.8747156,16384,-960.5081787109375
1712337119.6692774,18432,-960.5081787109375
1712337173.5488493,20480,-960.5081787109375
1712337227.3715205,22528,-960.5081787109375
1712337282.4466312,24576,-960.5081787109375
1712337337.6967094,26624,-960.5081787109375
1712337393.3750756,28672,-960.5081787109375
1712337448.4436922,30720,-960.5081787109375
1712337503.515562,32768,-960.5081787109375
1712337558.846195,34816,-960.5081787109375
1712337613.7038343,36864,-960.5081787109375
1712337668.6840835,38912,-960.5081787109375
1712337723.8155227,40960,-960.5081787109375
1712337769.2069874,43008,-960.5081787109375
1712337824.6161408,45056,-960.5081787109375
1712337879.3951972,47104,-960.5081787109375
1712337934.1986487,49152,-960.5081787109375
1712337988.9047353,51200,-960.5081787109375
1712338043.759619,53248,-960.5081787109375
1712338098.5270162,55296,-960.5081787109375
1712338153.3415515,57344,-960.5081787109375
1712338208.3804023,59392,-960.5081787109375
1712338263.5163643,61440,-960.5081787109375
1712338318.8107426,63488,-960.5081787109375
1712338373.782895,65536,-960.5081787109375
1712338428.935258,67584,-960.5081787109375
1712338483.7459671,69632,-960.5081787109375
1712338538.7223842,71680,-960.5081787109375
1712338593.443195,73728,-960.5081787109375
1712338648.323306,75776,-960.5081787109375
1712338703.17226,77824,-960.5081787109375
1712338758.234343,79872,-960.5081787109375
1712338812.6084404,81920,-960.5081787109375
1712338857.096246,83968,-960.5081787109375
1712338901.381963,86016,-960.5081787109375
1712338945.7161055,88064,-960.5081787109375
1712338990.0665698,90112,-960.5081787109375
1712339034.3084757,92160,-960.5081787109375
1712339078.7424228,94208,-960.5081787109375
1712339123.1025064,96256,-960.5081787109375
1712339175.1815817,98304,-960.5081787109375
1712339229.0456965,100352,-960.5081787109375
